vehicle,site,date,company,payload
Antares Configuration 230,VA,20161017,Orbital Sciences Corp.,Cygnus
Falcon 9 Version 1.2,Florida,20160814,Space Exploration Technologies Corporation,JCSat-16
Falcon 9 Version 1.2,Florida,20160718,Space Exploration Technologies Corporation,CRS-9
Falcon 9 Version 1.2,Florida,20160615,Space Exploration Technologies Corporation,ABS-2A/Eutelsat 117W B
Falcon 9 Version 1.2,Florida,20160527,Space Exploration Technologies Corporation,Thaicom 8
Falcon 9 Version 1.2,Florida,20160506,Space Exploration Technologies Corporation,JCSat-14
Falcon 9 Version 1.2,Florida,20160408,Space Exploration Technologies Corporation,Dragon Spacecraft CRS-8
Atlas V,Florida,20160322,United Launch Alliance,Cygnus Spacecraft OA-6
Falcon 9 Version 1.2,Florida,20160304,Space Exploration Technologies Corporation,SES-9
Falcon 9 Version 1.2,Florida,20151221,Space Exploration Technologies Corporation,Orbcomm2
Atlas V,Florida,20151206,United Launch Alliance,Cygnus Spacecraft OA-4
Atlas V,Florida,20151002,United Launch Alliance,Morelos-3 Communications Satellite
Falcon 9 Version 1.1,Florida,20150628,Space Exploration Technologies Corporation,Dragon Spacecraft CRS-7
Dragon crew,Florida,20150506,Space Exploration Technologies Corporation,No payload; Pad Abort Test
Falcon 9 Version 1.1,Florida,20150427,Space Exploration Technologies Corporation,TurkmenAlem52E/MonacoSat Communication Satellite
Falcon 9 Version 1.1,Florida,20150414,Space Exploration Technologies Corporation,Dragon Spacecraft CRS-6
Falcon 9,Florida,20150301,Space Exploration Technologies Corporation,ABS3/EUTELSAT-1
Falcon 9 Version 1.1,Florida,20150110,Space Exploration Technologies Corporation,Dragon Spacecraft CRS-5
Delta IV Heavy,Florida,20141205,United Launch Alliance,Orion Exploration Flight Test 1 (EFT-1) reentry vehicle
Antares Configuration 130,VA,20141028,Orbital ATK,Cygnus Spacecraft
Falcon 9 Version 1.1,Florida,20140921,Space Exploration Technologies Corporation,CRS-4 Dragon 6 Capsule
Falcon 9 Version 1.1,Florida,20140907,Space Exploration Technologies Corporation,AsiaSat-6
Falcon 9 Version 1.1,Florida,20140805,Space Exploration Technologies Corporation,AsiaSat-8
Atlas V-401,CA,20140813,Lockheed Martin Commercial Launch Services,WorldView-3 Satellite
Falcon 9 Version 1.1,Florida,20140714,Space Exploration Technologies Corporation,Orbcomm-1 Second Generation Communications Satellites (#1 through #6)
Antares 120,VA,20140713,Orbital ATK,Orb-2 Cygnus Spacecraft
Zenit-3SL,N/A,20140526,"Energia Logistics, Ltd. (ELUS)",Eutelsat 3B
Falcon 9,Florida,20140418,Space Exploration Technologies Corporation,Dragon
Antares,VA,20140109,Orbital ATK,ORB-1
Falcon 9,Florida,20140106,Space Exploration Technologies Corporation,THAICOM 6 MISSION
Falcon 9,Florida,20131203,Space Exploration Technologies Corporation,SES-8
Minotaur,VA,20131119,Orbital ATK,ORS3
Falcon 9,CA,20130929,Space Exploration Technologies Corporation,Cassiope
Antares,VA,20130918,Orbital ATK,Cygnus
Antares,VA,20130421,Orbital ATK,Mass Simulator
Falcon 9,Florida,20130301,Space Exploration Technologies Corporation,Dragon Reentry Capsule
STIG-B III,New Mexico,20130105,Armadillo Aerospace,Scientific
Zenit-3SL,N/A,20130201,"Energia Logistics, Ltd. (ELUS)",Intelsat 27
STIG-B,New Mexico,20121104,Armadillo Aerospace,Scientific
Zenit-3SL,N/A,20121203,"Energia Logistics, Ltd. (ELUS)",Eutelsat 70B
Falcon 9,Florida,20121007,Space Exploration Technologies Corporation,Dragon Reentry Capsule
STIG-B,New Mexico,20121006,Armadillo Aerospace,Scientific
Zenit-3SL,N/A,20120818,"Energia Logistics, Ltd. (ELUS)",Intelsat 21
Zenit-3SL,N/A,20120601,"Energia Logistics, Ltd. (ELUS)",Intelsat-19
Falcon 9,Florida,20120522,Space Exploration Technologies Corporation,Dragon Reentry Capsule
Zenit-3SL,N/A,20110924,"Energia Logistics, Ltd. (ELUS)",Atlantic Bird 7
Falcon 9,Florida,20101208,Space Exploration Technologies Corporation,Dragon Reentry Capsule
Delta II,CA,20101106,Boeing Launch Services,COSMO-Skymed 4
Falcon 9,Florida,20100604,Space Exploration Technologies Corporation,Dragon Reentry Capsule
Delta IV,Florida,20100304,Boeing Launch Services,GOES-P
Atlas V,Florida,20091123,Lockheed Martin Commercial Launch Services,Intelsat 14
Delta II,CA,20091008,Boeing Launch Services,WorldView-2
Delta IV,Florida,20090627,The Boeing Company,GOES O
Zenit-3SL,N/A,20090420,Sea Launch Limited Partnership,SICRAL 1B
Falcon 1,RMI,20080928,Space Exploration Technologies Corporation,Payload Mass Simulator
Delta II,CA,20081025,The Boeing Company,COSMO SkyMed 3
Zenit-3SL,N/A,20080924,Sea Launch Limited Partnership,Galaxy 19
Zenit-3SL,N/A,20080716,Sea Launch Limited Partnership,EchoStar XI
Falcon 1,RMI,20080802,Space Exploration Technologies Corporation,"Trailblazer, Presat, Nanosail-D"
Zenit-3SL,N/A,20080521,Sea Launch Limited Partnership,Galaxy 18
Pegasus XL,RMI,20080416,Orbital ATK,C/NOFS
Delta II,CA,20080906,Boeing Launch Services,GeoEye 1
Zenit-3SL,N/A,20080319,Sea Launch Limited Partnership,DIRECTV 11
Delta II,CA,20071209,Boeing Launch Services,COSMO-SkyMed-2
Atlas V-421,Florida,20080414,Lockheed Martin Commercial Launch Services,ICO-G1
Delta II,CA,20070918,Boeing Launch Services,WorldView 1
Delta II,CA,20070608,McDonnell Douglas Corporation,COSMO-SkyMed 1
Zenit-3SL,N/A,20080115,Sea Launch Limited Partnership,Thuraya D3
Zenit-3SL,N/A,20061030,Sea Launch Limited Partnership,XM Radio 4
Zenit-3SL,N/A,20070130,Sea Launch Limited Partnership,NSS-8
Zenit-3SL,N/A,20031001,Sea Launch Limited Partnership,Galaxy 13
Zenit-3SL,N/A,19990328,Sea Launch Limited Partnership,Mass Simulator
Zenit-3SL,N/A,19991009,Sea Launch Limited Partnership,DIRECTV 1R
Zenit-3SL,N/A,20000728,Sea Launch Limited Partnership,PAS 9
Zenit-3SL,N/A,20001021,Sea Launch Limited Partnership,THURAYA-1
Zenit-3SL,N/A,20010318,Sea Launch Limited Partnership,XM-2
Zenit-3SL,N/A,20010508,Sea Launch Limited Partnership,XM-1
Zenit-3SL,N/A,20020615,Sea Launch Limited Partnership,GALAXY IIIC
Zenit-3SL,N/A,20000312,Sea Launch Limited Partnership,ICOF-1
Zenit-3SL,N/A,20030607,Sea Launch Limited Partnership,Thuraya II
Zenit-3SL,N/A,20030808,Sea Launch Limited Partnership,Echostar IX
Zenit,N/A,20040111,Sea Launch Limited Partnership,Estrela do Sul
Zenit,N/A,20040504,Sea Launch Limited Partnership,DTV 7S
Zenit-3SL,N/A,20060822,Sea Launch Limited Partnership,Koreasat 5
Falcon 1,RMI,20090714,Space Exploration Technologies Corporation,RazakSat
Zenit-3SL,N/A,20060411,Sea Launch Limited Partnership,JCSat 9
Delta IV,Florida,20060524,McDonnell Douglas Corporation,GOES N
Delta II,Florida,19980424,McDonnell Douglas Corporation,GLOBALSTAR 2
Pegasus XL,VA,19980923,Orbital ATK,ORBCOMM III
Athena-2,CA,19990924,Lockheed Martin Commercial Launch Services,IKONOS 2
Delta II,CA,19980330,McDonnell Douglas Corporation,IRIDIUM 8
Atlas IIA,Florida,19980316,Lockheed Martin Commercial Launch Services,GBS F8
Atlas IIAS,Florida,19980228,Lockheed Martin Commercial Launch Services,INTELSAT 806
Pegasus XL,VA,19980802,Orbital ATK,ORBCOMM II
Taurus,CA,19980210,Orbital ATK,GEOSAT F/O
Starfire 1,NM,19900517,Space Services,CONSORT-3
Delta II,Florida,19980214,McDonnell Douglas Corporation,GLOBALSTAR 1
Pegasus XL,CA,19980226,Orbital ATK,SNOE
Delta II,CA,19980218,McDonnell Douglas Corporation,IRIDIUM 7
Delta II,Florida,19980110,McDonnell Douglas Corporation,SKYNET 4D
Athena-2,Florida,19980107,Lockheed Martin Commercial Launch Services,Lunar Prospector
Pegasus XL,VA,19971223,Orbital ATK,ORBCOMM I
Delta II,CA,19971220,McDonnell Douglas Corporation,IRIDIUM 6
Atlas IIAS,Florida,19971208,Lockheed Martin Commercial Launch Services,GALAXY 8I
Delta II,CA,19971109,McDonnell Douglas Corporation,IRIDIUM 5
Atlas IIAS,Florida,19971005,Lockheed Martin Commercial Launch Services,ECHOSTAR III
Delta II,Florida,19900413,McDonnell Douglas Corporation,PALAPA B2-R
Delta II,CA,19970927,McDonnell Douglas Corporation,IRIDIUM 4
Atlas IIAS,Florida,19970904,Lockheed Martin Commercial Launch Services,GE-3
LMLV-1,CA,19970822,Lockheed Martin Commercial Launch Services,LEWIS
Delta II,CA,19970821,McDonnell Douglas Corporation,IRIDIUM 3
Pegasus XL,CA,19970801,Orbital ATK,SEASTAR
Atlas IIAS,Florida,19970728,Lockheed Martin Commercial Launch Services,SUPERBIRD-C
Delta II,CA,19970709,McDonnell Douglas Corporation,IRIDIUM 2
Delta II,Florida,19970520,McDonnell Douglas Corporation,THOR 2A
Delta II,CA,19970505,McDonnell Douglas Corporation,IRIDIUM 1
Pegasus XL,,19970421,Orbital ATK,MINISAT I
Titan,Florida,19900314,Martin Marrietta,INTELSAT VI
Atlas IIA,Florida,19970308,Lockheed Martin Commercial Launch Services,TEMPO DBS
Atlas IIAS,Florida,19970217,Lockheed Martin Commercial Launch Services,JCSAT-4
Atlas IIA,Florida,19961218,Lockheed Martin Commercial Launch Services,INMARSAT III F3
Atlas IIA,Florida,19961121,Lockheed Martin Commercial Launch Services,HOT BIRD 2
Atlas IIA,Florida,19960908,Lockheed Martin Commercial Launch Services,GE-1
Atlas II,Florida,19960725,Lockheed Martin Commercial Launch Services,EHF F7
Delta II,Florida,19960524,McDonnell Douglas Corporation,GALAXY IX
Std Pegasus,CA,19960517,Orbital ATK,MSTI III
Atlas I,Florida,19960430,Lockheed Martin Commercial Launch Services,SAX
Delta II,CA,19960424,McDonnell Douglas Corporation,MSX
Delta II,Florida,19900214,McDonnell Douglas Corporation,LOSAT
Starfire 1,NM,19960403,EER Systems Corporation,CONQUEST
Atlas IIA,Florida,19960403,Lockheed Martin Commercial Launch Services,INMARSAT III F1
Atlas IIAS,Florida,19960201,Lockheed Martin Commercial Launch Services,PALAPA-C1
Delta II,Florida,19960114,McDonnell Douglas Corporation,KOREASAT-2
Atlas IIA,Florida,19951215,Lockheed Martin Commercial Launch Services,Galaxy 3R
Conestoga,VA,19951023,EER Systems Corporation,METEOR
Atlas II,Florida,19951022,Lockheed Martin Commercial Launch Services,EHF-F6
Atlas IIAS,Florida,19950829,Lockheed Martin Commercial Launch Services,JCSAT-3
LLV-1,CA,19950815,Lockheed Martin Commercial Launch Services,GEMSTAR
Delta II,Florida,19950805,McDonnell Douglas Corporation,KOREASAT-1
