vehicle,site,date,company,payload
New Shepard System,Texas,20161005,Blue Origin,N/A
New Shepard System,Texas,20160619,Blue Origin,Research and Educational Payloads
New Shepard System,Texas,20160402,Blue Origin,Crew Capsule PM4 M4
New Shepard System,Texas,20160122,Blue Origin,Crew Capsule PM4 M3
New Shepard System,Texas,20151123,Blue Origin,Crew Capsule
New Shepard System,Texas,20150429,Blue Origin,No payload
SpaceShipTwo,CA,20141031,Scaled Composites,None
Falcon 9-R,Texas,20140822,Space Exploration Technologies Corporation,N/A
Falcon 9-R,Texas,20140801,Space Exploration Technologies Corporation,N/A
Falcon 9-R,Texas,20140617,Space Exploration Technologies Corporation,none
Falcon 9-R,Texas,20140501,Space Exploration Technologies Corporation,N/A
Falcon 9-R,Texas,20140417,Space Exploration Technologies Corporation,N/A
SpaceShipTwo,CA,20140110,Scaled Composites,Flight PF03
Grasshopper,Texas,20131007,Space Exploration Technologies Corporation,750m no translation
SpaceShipTwo,CA,20130905,Scaled Composites,Flight PF02
Grasshopper,Texas,20130813,Space Exploration Technologies Corporation,N/A
Grasshopper,Texas,20130614,Space Exploration Technologies Corporation,N/A
SpaceShipTwo,CA,20130429,Scaled Composites,Flight PF01
Grasshopper,Texas,20130419,Space Exploration Technologies Corporation,N/A
Grasshopper,Texas,20130307,Space Exploration Technologies Corporation,N/A
Grasshopper,Texas,20121217,Space Exploration Technologies Corporation,N/A
Grasshopper,Texas,20121101,Space Exploration Technologies Corporation,No Payload
PM 2,Texas,20110824,Blue Origin,N/A
PM 2,Texas,20110506,Blue Origin,N/A
MOD-1,New Mexico,20081024,Armadillo Aerospace,N/A
QUAD (Pixel),New Mexico,20081025,Armadillo Aerospace,N/A
MOD-1,New Mexico,20081024,Armadillo Aerospace,N/A
Ignignokt,New Mexico,20081024,Scott Zeeb d/b/a TrueZer0,N/A
MOD-1,New Mexico,20081024,Armadillo Aerospace,N/A
MOD-1,New Mexico,20071028,Armadillo Aerospace,N/A
MOD-1,New Mexico,20071028,Armadillo Aerospace,N/A
MOD-1,New Mexico,20071027,Armadillo Aerospace,N/A
MOD-1,New Mexico,20071027,Armadillo Aerospace,N/A
MOD-1,OK,20071020,Armadillo Aerospace,N/A
QUAD (Pixel),OK,20070602,Armadillo Aerospace,N/A
QUAD (Pixel),OK,20070602,Armadillo Aerospace,N/A
PM 1,Texas,20070419,Blue Origin,N/A
PM 1,Texas,20070322,Blue Origin,N/A
QUAD (Pixel),New Mexico,20061021,Armadillo Aerospace,N/A
PM 1,Texas,20061113,Blue Origin,N/A
QUAD (Pixel),New Mexico,20061021,Armadillo Aerospace,N/A
QUAD (Pixel),New Mexico,20061021,Armadillo Aerospace,N/A
QUAD (Pixel),New Mexico,20061020,Armadillo Aerospace,N/A
QUAD (Pixel),New Mexico,20061019,Armadillo Aerospace,N/A
